序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
34,688160,步科股份,0.4,447690762.94,43.9989122016,36.8714,36334919.48,39.16,72.9156,14.66114066738,2.78,-0.197981604405,33.1777876641,自动化设备,2026-08-26
35,688106,金宏气体,0.13,1473208550.76,12.121324994,22.1569,67893369.33,-17.41,1194.3722,7.441484746857,1.87,0.400966406975,26.977130334,电子化学品Ⅱ,2026-08-26
36,688091,上海谊众,0.2,165835947.86,3.4487130424,9.5,42303569.28,11.31,32.8523,7.21130181752,2.91,0.187268922163,85.2227296336,化学制药,2026-08-26
37,688087,英科再生,0.83,2146353635.1,28.831144604,10.4107,153607016.5,5.34,100.93,15.244214675882,5.29,1.404373621005,28.6501746112,家居用品,2026-08-26
38,688080,映翰通,0.51,315667776.25,-10.1765571349,34.8065,37226818.88,-44.72,200.6044,16.184043480046,3.16,0.770725020152,48.5790166363,通信设备,2026-08-26
39,688069,德林海,-0.04,167522159.35,54.9463888691,146.7826,-5678239.72,-83.5962024325,120.3897,7.968994614393,-0.44,-0.403297348779,49.1683369768,环境治理,2026-08-26
40,688061,灿瑞科技,-0.21,307600045.13,4.7873091989,34.1715,-24059262.66,10.30532706,85.4227,19.601717469457,-1.04,-0.694542369016,28.3142662262,半导体,2026-08-26
41,688055,龙腾光电,-0.056,957577718.81,-25.7388337026,12.0036,-188014931.67,-55.1910777036,-69.7977,1.166651334025,-4.72,0.007223577069,2.1620668833,光学光电子,2026-08-26
42,688037,芯源微,0.04,896820058.59,26.4696339043,71.2815,8062169.93,-49.37,29.7643,13.950731834239,0.29,-2.233995338503,34.9317599188,半导体,2026-08-26
43,605577,龙版传媒,0.177,659414638.4,5.6181281173,-77.2344,78677999.37,-34.46,-136.1851,8.802228433657,2.0,0.050119876827,43.8149789943,出版,2026-08-26
44,605488,福莱新材,0.18,1714712331.92,28.5036080857,9.4574,51973346.35,2.04,75.9326,7.462096960953,2.53,0.191282494433,13.8942781139,塑料,2026-08-26
45,605389,长龄液压,0.38,550517726.55,18.3400480498,8.7951,71944669.16,9.44,-9.1369,11.347812375798,3.38,-0.025666616026,29.5778184129,工程机械,2026-08-26
46,605305,中际联合,1.24,962031889.01,17.548461864,19.3864,263429282.8,0.52,4.4792,14.645340585357,8.63,0.303540829851,48.8403774124,工程机械,2026-08-26
47,605286,同力天启,0.12,958920945.14,-14.5359953047,46.2665,19587219.21,-83.09,15.3707,12.857080692321,0.91,-0.71955254244,16.3360059746,专用设备,2026-08-26
48,605277,新亚电子,0.33,2213191891.48,13.7611183463,21.6678,128922791.11,30.01,89.8813,4.531776815658,7.3,0.212498190859,15.7160656059,消费电子,2026-08-26
49,605196,华通线缆,0.32,4842058564.12,41.3535533235,27.052,163435861.15,18.61,53.2126,6.699611373011,4.78,-0.959331270209,17.5278857792,电网设备,2026-08-26
50,605169,洪通燃气,0.3571,1335288510.97,-10.1982762126,40.0321,98956337.24,35.77,2055.2522,7.278364280755,4.8,0.55660605642,17.5558538034,燃气Ⅱ,2026-08-26
51,605167,利柏特,0.19,950537693.48,-33.9966479964,-2.2362,93649798.65,-22.97,79.5505,5.570786645825,4.5,-0.068197336477,23.5843852872,专业工程,2026-08-26
52,605001,威奥股份,-0.1,877548274.41,3.9153939871,-7.0947,-40327435.08,-191.68,-530.3748,6.711276135724,-1.49,0.172180128485,22.9659345881,轨交设备Ⅱ,2026-08-26
53,603987,康德莱,0.26,1088806002.98,-3.2079662932,2.8536,112243830.07,-10.23,7.5956,6.476205869591,4.03,0.266200833566,31.2044468895,医疗器械,2026-08-26
54,603979,金诚信,2.59,7640767151.27,20.9742942777,23.8218,1614142522.6,45.3,68.3655,19.565827241789,13.67,2.196963732592,39.5736206273,工业金属,2026-08-26
55,603931,格林达,0.31,303186586.35,-3.8085019847,4.8239,60936898.66,-0.74,7.8598,10.71113888843,3.13,0.41506540933,33.173776347,电子化学品Ⅱ,2026-08-26
56,603927,中科软,0.11,2435504626.04,0.0597354257,41.3848,90344281.7,-15.6,770.272,3.697560037591,2.79,-1.300031411087,27.7671711685,软件开发,2026-08-26
57,603926,铁流股份,0.3,1203636211.24,1.5311548325,11.7925,68934872.08,41.26,32.5248,7.551708873219,3.93,0.722817765481,19.5402957674,汽车零部件,2026-08-26
58,603912,佳力图,-0.13,301730249.34,-5.9521924728,10.8883,-68221216.16,-283.8772474324,-136.8478,3.087661969361,-3.89,-0.205823645495,8.4533125319,通用设备,2026-08-26
59,603896,寿仙谷,0.19,276041940.24,-7.888899726,-28.5803,36870778.51,-43.76,-72.556,11.186838974264,1.62,-0.177867116623,76.7917395254,中药Ⅱ,2026-08-26
60,603890,春秋电子,0.16,2198784860.66,14.1836746056,-1.5238,72033623.95,-22.81,-81.3761,7.154823345364,2.17,0.550197237903,21.0489182148,消费电子,2026-08-26
61,603889,新澳股份,0.34,3086707911.48,20.8369039222,40.1622,325399369.73,20.23,71.0343,3.958957602175,8.53,-0.054355865563,21.1863569273,纺织制造,2026-08-26
62,603888,新华网,0.1961,832052868.97,2.6554062323,34.532,145568564.15,-5.51,169.7266,5.672571401904,3.79,-0.157271533082,40.5890832812,数字媒体,2026-08-26
63,603886,元祖股份,-0.26,748799999.31,-9.652899665,24.9139,-63196872.95,-5219.22,110.0214,5.602174716583,-4.29,0.170285151667,61.3053752328,休闲食品,2026-08-26
64,603878,武进不锈,-0.09,820508321.91,-26.7949799583,66.4962,-49142246.13,-165.09,-79.9542,4.510267576555,-1.89,-0.125478635653,4.3479724151,普钢,2026-08-26
65,603836,海程邦达,0.18,4981423232.06,17.9312772279,46.2002,51101889.2,185.24,223.9831,6.074180728216,2.92,-0.727034726736,7.0515420828,物流,2026-08-26
66,603803,瑞斯康达,-0.01,655922755.46,21.7146547171,23.4926,-4547265.36,89.2222732134,-266.4594,3.595248799826,-0.3,-0.142890883843,42.4238046574,通信设备,2026-08-26
67,603790,雅运股份,0.33,523085469.4,18.8648360764,-9.6108,63182175.58,39.31,-27.44,6.824183994356,4.86,0.367824588158,34.0029062295,化学制品,2026-08-26
68,603788,宁波高发,0.42,759196148.23,-3.5087562282,7.9669,93349600.73,-10.14,-1.0466,9.15252500006,4.29,0.02309902351,22.136006608,汽车零部件,2026-08-26
69,603779,威龙股份,-0.04,164344727.19,-12.1363944244,19.244,-11962822.74,-398.09,40.4828,1.452839309837,-2.44,-0.084715835078,49.0276669399,非白酒,2026-08-26
70,603773,沃格光电,-0.5495,1227980318.85,3.192768693,6.7136,-123495909.52,-128.04,-41.6608,4.524137663381,-11.66,0.166392779251,15.9348565801,光学光电子,2026-08-26
71,603703,盛洋科技,-0.05,619827247.78,48.9417429215,59.4719,-21377933.74,-524.33,-549.8956,1.944061966911,-2.62,-0.679085311459,18.3858927706,光学光电子,2026-08-26
72,603633,徕木股份,-0.14,820127340.58,7.7990144544,46.6982,-61076459.82,-288.51,29.471,4.020055248623,-3.5,0.077276847467,12.0990023427,消费电子,2026-08-26
73,603618,杭电股份,0.57,5096685572.18,12.6581953553,31.4087,392759808.94,938.67,285.8369,4.337575364344,13.5,-0.578621980053,17.9736984995,电网设备,2026-08-26
74,603559,中通国脉,0.02,223195271.96,27.4244117786,13.1366,9585578.69,122.4514900156,-57.7621,1.958989396798,1.23,-0.120853853542,5.824887246,通信服务,2026-08-26
75,603528,多伦科技,-0.0537,224136474.83,11.8730595584,85.6839,-36260264.86,-577.76,20.2509,2.63951837888,-1.93,-0.003414287993,32.1404858378,软件开发,2026-08-26
76,603516,淳中科技,0.65,117521142.14,-8.7791170417,63.6455,131556010.44,428.7371494364,7494.0533,8.920363241822,7.44,-0.276118730016,32.9637207098,计算机设备,2026-08-26
77,603459,红板科技,0.78,2094098028.42,22.4605744523,19.8097,539036712.5,124.74,235.4255,5.957044294959,17.21,0.263424249836,24.4454113271,元件,2026-08-26
78,603421,鼎信通讯,-0.3,451970998.97,-35.8111225363,29.6779,-198239493.39,9.5498893511,-11.5984,3.529907890288,-8.26,-0.089720238386,24.2886600269,通信设备,2026-08-26
79,603409,汇通控股,0.4,702579424.77,31.8739854662,21.2519,74332380.88,6.03,-21.3093,8.176049316253,4.76,0.150549501905,28.1468928591,汽车零部件,2026-08-26
80,603386,骏亚科技,-0.03,1349265055.42,6.7336223192,22.4287,-8441298.68,-122.14,158.7233,4.047473493252,-0.64,0.059188140348,16.4683357097,元件,2026-08-26
81,603365,水星家纺,0.58,1975574428.5,2.8280884318,1.803,150156440.18,6.38,-57.1605,11.765696559913,4.73,-0.756579123477,46.2804345744,服装家纺,2026-08-26
