代码,60日涨跌幅,20日涨跌幅,距60日高点
301217,-27.669255035185635,10.58245223520684,-40.38499999999999
603801,10.142348754448394,-5.351681957186538,-14.384508990318123
600100,-2.148997134670494,0.0,-5.532503457814664
002335,-18.709516691579463,7.8677685950413245,-25.19486474094451
603313,6.829268292682933,7.7049180327869005,-23.51571594877765
002909,50.49900199600798,41.99623352165727,-13.532110091743121
002921,-28.499327052489896,-0.7009345794392496,-29.04841402337228
002370,-9.49913644214162,-5.755395683453224,-15.7556270096463
688758,47.435335379219666,23.821796759941094,-0.9717314487632467
301717,,-6.930693069306926,-30.11152416356877
688070,-2.3466666666666747,6.95093457943925,-9.647174932149039
000716,18.72037914691944,0.20000000000000018,-15.228426395939088
000055,12.058823529411766,5.540166204986163,-0.2617801047120394
002460,-30.773909077086813,-14.897196261682243,-36.675938803894304
002560,-5.548037889039237,13.68078175895766,-19.02552204176333
601106,-11.17824773413898,-5.161290322580648,-18.105849582172695
603757,-3.8249862410566826,10.234978709982666,-11.964735516372793
000987,-9.302325581395344,-3.891050583657585,-10.083727702948664
600868,2.2471910112359605,-4.878048780487809,-12.5
002793,15.217391304347828,-1.6494845360824795,-11.992619926199266
002324,-24.979457682826613,1.3318534961154427,-30.728376327769336
600802,40.98360655737705,27.542372881355924,0.0
002474,8.503401360544217,2.9032258064516148,-9.375
002640,12.5,4.154302670623133,-7.387862796833778
600935,-2.5316455696202556,-0.4310344827586077,-4.545454545454541
002191,-9.27318295739349,-3.7234042553191404,-13.809523809523816
600986,-0.28248587570621764,-0.7032348804500765,-14.320388349514568
002549,-40.43887147335422,-2.3494860499265635,-40.43887147335422
000561,2.7888446215139417,-0.1290322580645098,-3.731343283582078
603439,2.891030392883631,10.951239008792978,-10.91714267376933
002374,-4.424778761061942,4.854368932038855,-8.732394366197171
002622,15.962441314553999,-7.14285714285714,-9.191176470588236
000908,5.98591549295775,-7.810107197549776,-19.733333333333334
600067,-10.20408163265305,-8.333333333333325,-27.27272727272727
600111,-21.154656552886642,-6.613426503618669,-30.895660203139418
603912,16.901408450704245,2.354260089686111,-2.9755579171094504
001268,5.83927388882397,10.672097759674148,-8.856088560885599
600893,4.850251789027316,7.792915531335143,-5.154639175257724
601595,38.84463326842511,39.31320307874482,-4.504870129870131
603628,8.184679958027296,5.204081632653068,-4.9769585253456095
002564,23.370786516853936,21.999999999999996,0.0
002752,6.25,1.4925373134328401,-5.555555555555558
603730,-13.676731793960917,-9.073900841908312,-31.307420494699645
688192,37.52567906870576,4.2567918324969645,-10.872781065088756
002058,-14.999999999999991,5.667276051188308,-30.108827085852475
688400,-29.274256067744055,4.309586631486373,-33.488489470880175
600506,19.580419580419584,8.709472345835989,-7.816711590296488
300773,-5.0793650793650835,-6.092964824120606,-15.536723163841803
002738,-31.653567575897668,-13.26031683942891,-32.27973736448312
002213,-20.163265306122447,-5.901218729955104,-30.05959475566151
002463,-11.661264740362732,7.4484146955208885,-17.34950641976902
601208,-18.191283653131052,23.20788530465949,-31.060416144397095
002199,9.885260370697257,1.6326530612244872,-12.57022471910113
600048,19.491525423728806,7.2243346007604625,-0.7042253521126751
603000,11.575373767709074,4.462102689486547,-2.509982886480322
601101,19.26192619261926,-0.6001500375093727,-11.784287616511314
002479,38.58823529411764,0.5119453924914641,-4.227642276422772
002384,-21.643457431691772,-0.6997324552377115,-30.021754894851348
605007,7.594038325053232,-0.5901639344262244,-9.600477042337507
001256,-26.015989340439706,-0.5819158460161122,-26.015989340439706
002155,-4.758250191864921,1.0586319218241158,-14.854202401372207
002606,-5.413718855736683,-4.532753803166711,-17.637605464041773
002828,11.076604554865433,-11.687242798353914,-20.40059347181009
000691,-20.47986289631535,-9.37500000000001,-31.208302446256496
603033,-21.521521521521525,5.802968960863697,-24.615384615384617
002973,24.854368932038827,7.615062761506275,-5.1622418879056164
603679,14.914425427872867,2.889667250437822,-12.182361733931247
002127,6.181818181818177,0.3436426116838476,-9.597523219814242
002164,0.0843170320404596,6.4573991031390054,-10.211800302571872
603327,0.7211538461538547,-11.603375527426152,-27.130434782608692
002712,16.627634660421563,3.534303534303551,-7.434944237918206
688220,-16.933333333333323,7.1367153912295755,-20.68746021642266
688107,-30.243024302430243,3.9222259470331977,-32.01754385964912
603536,22.153465346534638,5.111821086261958,-7.14957666980246
600797,1.0687022900763399,-2.215657311669117,-12.54953764861295
605068,20.833333333333325,19.4508009153318,-11.148936170212774
002298,11.658031088082899,6.157635467980294,-7.708779443254821
300733,14.3687707641196,2.761194029850733,-7.7077747989276135
600892,15.235457063711921,2.716049382716057,-23.669724770642198
002449,-13.788659793814428,1.210287443267788,-19.300361881785268
603387,26.108998732572864,6.07675906183367,-1.3875123885034757
000679,6.045751633986929,5.186385737439236,-14.379947229551448
300763,-33.385845855550166,-13.02215189873418,-42.51202677264171
600658,0.9779951100244544,1.225490196078427,-4.398148148148162
000938,12.46241229535583,-3.5530085959885493,-25.033407572383084
003041,-4.953354064860072,11.781609195402298,-8.313691879151497
600133,1.866053169734161,-2.923264311814877,-8.600917431192666
301297,-21.964319366794406,37.874583795782456,-21.964319366794406
603191,-16.125,-8.645336963921036,-26.30422844590885
000685,-3.9397963700752547,-4.320987654320985,-5.157342657342657
603533,11.24814997533301,8.622350674373802,-9.944089456868998
600975,8.860759493670889,2.17821782178218,-12.542372881355934
600178,-4.490449044904487,-0.9336099585062207,-6.455088647272
002233,-1.3850415512465353,-4.043126684636111,-8.951406649616366
002326,-34.81936971560338,-10.264550264550254,-39.42857142857142
002645,-27.844660194174764,-2.210526315789485,-48.53185595567868
300747,-16.42739950779327,15.668464376951462,-31.142277796552886
000042,9.791122715404699,-2.436194895591637,-15.050505050505048
000877,7.065217391304346,5.066666666666664,-2.4752475247524774
002274,23.046092184368728,5.13698630136985,-13.764044943820231
000722,13.014273719563407,5.403288958496488,-15.078864353312294
603258,15.35303776683088,8.914728682170537,-4.874746106973593
600110,-18.721461187214604,6.861063464837058,-29.083665338645414
600595,3.2928942807625816,-4.487179487179493,-11.964549483013286
002623,19.159770846594505,17.146433041301613,-5.597579425113464
300980,-22.491571680847645,5.553126366418892,-29.22896511287012
600115,-11.959287531806616,-3.8888888888888973,-16.626506024096386
600410,-2.1095484826054833,19.054763690922716,-17.737922454903597
002338,-19.064124783362214,9.239766081871359,-19.064124783362214
600228,39.30704898446835,38.31553973902728,-3.556658395368073
600159,19.913419913419904,6.949806949806958,-2.8070175438596467
000718,17.613636363636353,6.70103092783505,-0.48076923076924016
600733,-2.053388090349084,-6.102362204724421,-21.287128712871283
600071,-2.8340080971659853,6.329113924050622,-7.438016528925607
600330,0.13360053440214514,13.132075471698123,-15.786516853932586
000031,7.7981651376146655,5.8558558558558405,-2.083333333333326
